Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CarLearning,0.824,109.867,101.311,10420,-13.156
CarLearning,0.568,219.593,108.441,10400,-8.252
CarLearning,0.575,322.059,101.191,10420,-8.145
CarLearning,0.567,422.092,98.680,10400,-6.689
CarLearning,0.557,524.118,100.716,10300,-5.884
CarLearning,0.564,629.841,104.263,10320,-5.450
CarLearning,0.571,736.049,104.671,10280,-4.872
CarLearning,0.585,845.869,108.469,10300,-4.486
CarLearning,0.582,961.076,113.637,10300,-4.237
CarLearning,0.565,1074.553,112.065,10320,-3.795
CarLearning,0.569,1197.530,121.438,10300,-3.524
CarLearning,0.572,1330.637,131.443,10260,-3.191
CarLearning,0.566,1466.901,134.493,10280,-2.782
CarLearning,0.572,1607.492,138.972,10280,-2.571
CarLearning,0.572,1746.820,137.480,10280,-2.404
CarLearning,0.559,1887.226,138.734,10280,-2.289
CarLearning,0.565,2027.316,138.310,10280,-2.229
CarLearning,0.571,2195.608,166.339,10260,-2.033
CarLearning,0.582,2382.482,184.662,10260,-1.800
CarLearning,0.582,2573.500,188.827,10260,-1.614
CarLearning,0.577,2768.667,193.011,10260,-1.496
CarLearning,0.586,2960.536,189.777,10260,-1.420
CarLearning,0.575,3147.720,185.144,10260,-1.348
CarLearning,0.575,3336.029,186.145,10260,-1.284
CarLearning,0.574,3525.445,187.225,10260,-1.236
CarLearning,0.582,3710.066,182.484,10260,-1.178
CarLearning,0.589,3895.410,183.126,10260,-1.127
CarLearning,0.588,4085.112,187.661,10260,-1.099
