Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CarLearning,0.645,151.167,142.369,10420,-11.769
CarLearning,0.622,268.165,115.535,10380,-8.107
CarLearning,0.627,426.500,156.979,10400,-6.985
CarLearning,0.621,564.695,136.680,10360,-5.781
CarLearning,0.629,718.809,152.705,10320,-5.097
CarLearning,0.771,880.142,159.635,10340,-4.587
CarLearning,0.766,1019.325,137.471,10300,-4.013
CarLearning,0.639,1184.660,163.864,10260,-3.686
CarLearning,0.634,1327.199,140.950,10320,-3.280
CarLearning,0.599,1464.454,135.716,10260,-2.886
CarLearning,0.623,1645.095,179.126,10260,-2.666
CarLearning,0.607,1765.657,118.877,10260,-2.314
CarLearning,0.628,1978.832,211.345,10260,-2.029
CarLearning,0.625,2140.530,160.068,10280,-1.744
CarLearning,0.626,2357.873,215.538,10280,-1.546
CarLearning,0.646,2561.476,201.830,10280,-1.382
CarLearning,0.678,2733.974,170.590,10280,-1.245
CarLearning,0.608,2954.228,218.415,10260,-1.128
CarLearning,0.638,3248.950,292.465,10260,-0.950
CarLearning,0.667,3532.205,280.981,10260,-0.817
CarLearning,0.635,3813.607,279.138,10260,-0.715
CarLearning,0.636,4086.382,270.654,10260,-0.635
CarLearning,0.636,4329.845,241.226,10260,-0.571
CarLearning,0.631,4589.466,257.429,10260,-0.520
CarLearning,0.656,4881.090,289.363,10260,-0.473
CarLearning,0.634,5157.255,273.949,10260,-0.436
CarLearning,0.640,5424.912,265.434,10260,-0.402
CarLearning,0.632,5713.179,286.036,10260,-0.372
